"","StateLabel","childBearingYear","byear","Married","Age","Sex","ChildrenNum","Educ","LiveParents","Employment","WomenSameRightMen","MenJobs","FinacialSatisfaction","HousewifeFulfilling","menBeterLeader","UniversityBoy","preSchoolMother","womenJobIndependen","womenEarnMore","menBetterExec","State","StateCode","townSize","sexratio","rural_male","rural_female","urban_male","urban_female","sexRatioRural","sexRatioUrban","childSexRatio2011","childSexRatio2001"
"23","AP",1984,1964,1,46,1,2,6,1,3,10,2,5,1,2,3,2,1,1,2,"Andhra Pradesh",28,1,1.03808529783447,385554,361325,242035,243239,1.06705597453816,0.995050135874592,1.06044538706257,1.04058272632674
"24","AP",1995,1975,1,37,2,1,4,1,2,9,3,5,1,2,4,2,2,2,-1,"Andhra Pradesh",28,1,1.09555383304238,544177,487688,279823,264443,1.11583020291662,1.05815998154612,1.06044538706257,1.04058272632674
"25","AP",1970,1950,1,62,2,2,1,0,5,10,2,6,2,3,4,3,1,-1,4,"Andhra Pradesh",28,1,1.14054138307269,248216,220305,168872,145388,1.12669253988788,1.16152639832723,1.06044538706257,1.04058272632674
"26","AP",1990,1970,1,42,1,2,4,0,8,10,2,4,1,2,3,2,1,1,2,"Andhra Pradesh",28,2,1.04518593876939,459819,412689,254205,270466,1.11420222007371,0.939877840467933,1.06044538706257,1.04058272632674
"27","AP",1977,1957,1,45,2,1,2,0,5,8,2,8,4,3,1,-1,1,3,-1,"Andhra Pradesh",28,1,0.992729150939648,321008,330958,203698,197591,0.969935762241735,1.0309072781655,1.06044538706257,1.04058272632674
"28","AP",1972,1952,1,60,1,3,1,0,3,9,2,6,3,3,3,2,3,2,1,"Andhra Pradesh",28,1,1.01177381437754,285281,291299,181256,169809,0.979340814764211,1.06741103239522,1.06044538706257,1.04058272632674
"29","AP",2008,1988,1,24,2,0,6,1,1,8,2,5,1,3,4,4,2,3,3,"Andhra Pradesh",28,1,1.05073451367316,456542,436517,219592,206970,1.04587450202398,1.06098468377059,1.06044538706257,1.04058272632674
"30","AP",2004,1984,1,28,1,2,6,0,1,8,2,6,1,4,4,4,1,3,2,"Andhra Pradesh",28,1,1.06379060970182,519134,489249,245774,229791,1.06108341560228,1.06955450822704,1.06044538706257,1.04058272632674
"31","AP",1999,1979,2,33,2,2,-3,0,5,7,2,5,1,2,3,2,1,1,3,"Andhra Pradesh",28,1,1.05297913466556,591236,558680,268393,257698,1.05827307224171,1.04150206831252,1.06044538706257,1.04058272632674
"32","AP",2004,1984,1,28,1,1,4,1,1,9,1,5,2,3,3,2,3,3,4,"Andhra Pradesh",28,1,1.06379060970182,519134,489249,245774,229791,1.06108341560228,1.06955450822704,1.06044538706257,1.04058272632674
"33","AP",2009,1989,1,23,2,2,6,1,1,8,2,5,2,3,4,2,1,3,4,"Andhra Pradesh",28,1,1.05354365194541,404921,385252,201268,190129,1.05105489393955,1.05858653861326,1.06044538706257,1.04058272632674
"34","AP",1999,1979,1,33,1,1,3,1,1,9,1,4,2,4,3,4,2,3,4,"Andhra Pradesh",28,1,1.05297913466556,591236,558680,268393,257698,1.05827307224171,1.04150206831252,1.06044538706257,1.04058272632674
"35","AP",1996,1976,1,36,1,2,-3,0,1,9,3,6,1,2,3,2,1,1,2,"Andhra Pradesh",28,1,1.08946534498216,578647,526347,282912,264462,1.09936410770841,1.0697642761531,1.06044538706257,1.04058272632674
"36","AP",1985,1965,1,47,2,3,1,1,1,8,2,5,4,1,4,2,1,3,2,"Andhra Pradesh",28,1,0.98766571538446,467285,460748,264679,280357,1.01418779897037,0.944078442842519,1.06044538706257,1.04058272632674
"37","AP",1993,1973,1,39,1,3,6,1,3,9,1,7,1,1,4,2,1,3,4,"Andhra Pradesh",28,1,1.04869336115707,659517,610683,301342,305561,1.07996620177735,0.986192609658955,1.06044538706257,1.04058272632674
